price,date,postcode,property_type,old_new,duration,district,county
445000,2025-04-30 00:00,SK14 8JW,S,N,F,TAMESIDE,GREATER MANCHESTER
525000,2025-03-31 00:00,OL3 6LA,S,N,L,OLDHAM,GREATER MANCHESTER
142000,2025-08-01 00:00,SK3 8UP,T,N,L,STOCKPORT,GREATER MANCHESTER
175000,2025-03-14 00:00,WN3 4UA,T,N,L,WIGAN,GREATER MANCHESTER
280000,2025-07-25 00:00,SK8 7BG,F,N,F,STOCKPORT,GREATER MANCHESTER
195000,2025-03-21 00:00,OL2 7AD,T,N,L,OLDHAM,GREATER MANCHESTER
120000,2025-07-28 00:00,WN7 1NB,T,N,L,WIGAN,GREATER MANCHESTER
340000,2025-07-31 00:00,OL4 4RS,D,N,L,OLDHAM,GREATER MANCHESTER
345000,2025-03-13 00:00,BL8 3HL,T,N,L,BURY,GREATER MANCHESTER
700000,2025-05-22 00:00,M33 4HT,S,N,L,TRAFFORD,GREATER MANCHESTER
245000,2025-07-18 00:00,OL15 0EP,S,N,L,ROCHDALE,GREATER MANCHESTER
50000,2025-08-06 00:00,BL4 0BQ,S,N,L,BOLTON,GREATER MANCHESTER
251500,2025-07-03 00:00,OL15 0DP,S,N,L,ROCHDALE,GREATER MANCHESTER
113000,2025-08-08 00:00,WA3 3TU,T,N,F,WIGAN,GREATER MANCHESTER
495000,2025-08-06 00:00,M33 6HE,S,N,F,TRAFFORD,GREATER MANCHESTER
417000,2025-08-01 00:00,M33 5DE,S,N,F,TRAFFORD,GREATER MANCHESTER
217000,2025-08-07 00:00,SK6 3DN,T,N,F,STOCKPORT,GREATER MANCHESTER
260000,2025-08-08 00:00,M29 8NS,D,N,L,WIGAN,GREATER MANCHESTER
230000,2025-03-28 00:00,M27 5YG,S,N,L,SALFORD,GREATER MANCHESTER
225000,2025-06-26 00:00,BL1 8TG,S,N,L,BOLTON,GREATER MANCHESTER
235000,2025-03-21 00:00,SK6 5HA,T,N,F,STOCKPORT,GREATER MANCHESTER
335000,2025-03-28 00:00,M35 0DX,D,N,F,OLDHAM,GREATER MANCHESTER
907500,2025-08-21 00:00,WA15 8BX,D,N,L,TRAFFORD,GREATER MANCHESTER
210000,2025-07-28 00:00,OL4 3NB,S,N,L,OLDHAM,GREATER MANCHESTER
138000,2025-07-18 00:00,BL2 3AP,S,N,F,BOLTON,GREATER MANCHESTER
